Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	23	3	1	0	2	2	1	1	0	CT	Espagne	Aneto
H	23	3	1	0	2	3	1	1	0	CT	Espagne	Aneto
H	28	3	1	0	7	1	0	1	0	CT	Espagne	Aneto
M	23	4	1	0	1	1	1	1	1	CT	Espagne	Aneto
H	28	4	1	1	6	2	1	1	1	VC	Espagne	Aneto
H	23	3	1	1	1	2	1	1	1	CT	Espagne	Aneto
H	28	4	1	1	6	5	1	1	1	PV	Espagne	Aneto
H	23	3	1	0	1	1	0	1	1	CT	Espagne	Aneto
H	28	3	1	0	6	2	0	1	1	FRA	France	Aneto
H	28	3	1	0	6	2	0	0	0	VC	Espagne	Aneto
M	33	3	1	0	11	4	1	1	1	FRA	France	Aneto
H	23	3	1	0	1	2	0	0	0	VC	Espagne	Aneto
M	33	3	1	1	11	10	0	1	1	M	Espagne	Aneto
H	28	4	1	0	6	4	1	1	1	M	Espagne	Aneto
H	28	3	1	0	6	1	1	1	1	CT	Espagne	Aneto
H	38	3	1	0	15	1	0	0	0	CT	Espagne	Aneto
H	23	3	1		0	3	1	1	1	M	Espagne	Aneto
H	23	3	1		0	3	1	1	1	M	Espagne	Aneto
H	23	4	1		0	3	1	1	1	M	Espagne	Aneto
H	23	3	1		0	3	1	1	1	M	Espagne	Aneto
H	23	3	1		0	3	1	1	1	M	Espagne	Aneto
H	33	3	1	1	10	170	1	0	1	CT	Espagne	Aneto
H	33	4	1	0	10	4	0	1	0	AR	Espagne	Aneto
H	23	3	1	0	0	1	1	1	1	AR	Espagne	Aneto
H	28	3	1	0	5	3	0	1	1	VC	Espagne	Aneto
H	23	4	1		0	1	0	1	1	M	Espagne	Aneto
M	23	3	0		0	0	0	1	1	M	Espagne	Aneto
M	23	3	1	0	0	1	0	0	1	CT	Espagne	Aneto
M	23	3	1	0	0	1	0	0	1	CT	Espagne	Aneto
M	23	3	0	0	0	18	0	0	1	CT	Espagne	Aneto
H	33	3	1	0	10	1	0	1	1	CT	Espagne	Aneto
M	43	3	1	0	20	2	0	1	1	CT	Espagne	Aneto
H	43	4	1	0	20	3	1	0	0	CB	Espagne	Aneto
H	33	4	1	0	10	2	1	1	1	AR	Espagne	Aneto
H	33	4	1	1	10	23	1	0	0	PV	Espagne	Aneto
H	38	4	1	1	15	6	1	1	1	M	Espagne	Aneto
H	43	3	1	1	20	30	0	1	0	VC	Espagne	Aneto
H	63	4	1	1	40	100	1	1	1	PV	Espagne	Aneto
M	63	3	1	1	40	100	1	1	1	PV	Espagne	Aneto
H	43	4	1	1	20	12	1	1	1	VC	Espagne	Aneto
H	33	3	1	0	10	10	1	0	1	DEU	Autre pays	Aneto
H	33	3	1	0	10	10	1	0	1	DEU	Autre pays	Aneto
H	33	4	1	1	10	15	1	1	1	SVN	Autre pays	Aneto
H	23	2	1	0	0	1	0	1	0	BEL	Autre pays	Aneto
H	68	4	1	0	45	40	1	1	1	IRL	Autre pays	Aneto
H	43	4	1	0	20	12	0	0	0	CT	Espagne	Aneto
H	33	3	1	0	10	1	1	1	1	M	Espagne	Aneto
M	33	3	1	0	10	2	1	1	1	M	Espagne	Aneto
H	43	3	1	0	20	5	1	1	1	VC	Espagne	Aneto
H	53	4	1	0	30	12	0	1	0	AR	Espagne	Aneto
H	48	4	1	1	25	4	1	1	1	PV	Espagne	Aneto
H	28	3	1	1	5	5	1	1	1	FRA	France	Aneto
H	48	4	1	0	25	2	0	1	0	AR	Espagne	Aneto
H	38	3	1	0	15	4	1	0	1	USA	Autre pays	Aneto
H	28	3	1		5	7	1	1	1	VC	Espagne	Aneto
H	28	4	1	1	5	1	1	1	1	VC	Espagne	Aneto
H	28	3	1	1	5	5	1	1	1	PV	Espagne	Aneto
H	43	3	1	0	20	1	1	1	1	FRA	France	Aneto
H	48	3	1	0	25	6	1	0	1	FRA	France	Aneto
H	48	4	1	1	25	10	0	1	1	FRA	France	Aneto
H	48	4	1	0	25	4	0	1	1	FRA	France	Aneto
H	33	3	1	1	10	5	1	1	1	CT	Espagne	Aneto
H	33	4	1	0	10	22	0	1	1	CT	Espagne	Aneto
H	33	4	1	0	10	25	0	1	1	CT	Espagne	Aneto
H	48	3	1	1	25	5	1	1	0	PV	Espagne	Aneto
M	23	3	1	1	0	8	1	1	0	CT	Espagne	Aneto
H	28	4	1	1	5	18	1	1	0	CT	Espagne	Aneto
H	28	3	1	1	5	20	1	1	0	CT	Espagne	Aneto
M	38	4	1	1	15	20	1	1	1	FRA	France	Aneto
H	53	3	0	0	30	7	0	1	0	VC	Espagne	Aneto
H	38	4	1	0	15	6	1	1	1	FRA	France	Aneto
