rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
42;LADYKILLERS;ETATS UNIS;09/06/2004;6;1,25;2004;Comédie;US;"[1;5[";US;Printemps
43;GARFIELD, LE FILM;ETATS UNIS;11/08/2004;8;1,22;2004;Animation;US;"[1;5[";US;Été
44;ARSENE LUPIN;FRANCE / GRANDE BRETAGNE / ESPAGNE / ITALIE;13/10/2004;10;1,18;2004;Aventure;FR;"[1;5[";FR;Automne
45;VIPERE AU POING;FRANCE / GRANDE BRETAGNE;06/10/2004;10;1,17;2004;Drame;FR;"[1;5[";FR;Automne
46;BIG FISH;ETATS UNIS;03/03/2004;3;1,14;2004;Fantastique;US;"[1;5[";US;Hiver
47;TERMINAL (LE);ETATS UNIS;15/09/2004;9;1,14;2004;Comédie dramatique;US;"[1;5[";US;Été
48;MORT DANS LA PEAU (LA);ETATS UNIS;08/09/2004;9;1,14;2004;Espionnage;US;"[1;5[";US;Été
49;MANOIR HANTE ET LES 999 FANTOMES (LE);ETATS UNIS;18/02/2004;2;1,08;2004;Horreur;US;"[1;5[";US;Hiver
50;MAUVAISE EDUCATION (LA);ESPAGNE;12/05/2004;5;1,07;2004;Drame;ESP;"[1;5[";Autre;Printemps
51;DERNIER TRAPPEUR (LE);FRANCE / CANADA / ALLEMAGNE / ITALIE;15/12/2004;12;1,04;2004;Aventure;FR;"[1;5[";FR;Automne
1;STAR WARS : EPISODE III - LA REVANCHE DES SITHS;ETATS UNIS;18/05/2005;5;7,20;2005;Science-fiction;US;"[5;10[";US;Printemps
2;HARRY POTTER ET LA COUPE DE FEU;GRANDE BRETAGNE;30/11/2005;11;7,04;2005;Fantastique;GB;"[5;10[";GB;Automne
3;BRICE DE NICE;FRANCE;06/04/2005;4;4,43;2005;Comédie;FR;"[1;5[";FR;Printemps
4;CHARLIE ET LA CHOCOLATERIE;GRANDE BRETAGNE;13/07/2005;7;4,24;2005;Comédie fantastique;GB;"[1;5[";GB;Été
5;GUERRE DES MONDES (LA);ETATS UNIS;06/07/2005;7;3,89;2005;Science-fiction;US;"[1;5[";US;Été
6;MADAGASCAR;ETATS UNIS;22/06/2005;6;3,18;2005;Animation;US;"[1;5[";US;Printemps
7;MILLION DOLLAR BABY;ETATS UNIS;23/03/2005;3;3,15;2005;Drame;US;"[1;5[";US;Hiver
8;MR & MRS SMITH;ETATS UNIS;27/07/2005;7;2,96;2005;Action;US;"[1;5[";US;Été
9;MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE;ETATS UNIS;21/12/2005;12;2,87;2005;Fantasy;US;"[1;5[";US;Automne
10;POUPEES RUSSES (LES);FRANCE / GRANDE BRETAGNE;15/06/2005;6;2,84;2005;Comédie dramatique;FR;"[1;5[";FR;Printemps
11;KING KONG;ETATS UNIS;14/12/2005;12;2,77;2005;Fantastique;US;"[1;5[";US;Automne
12;IZNOGOUD;FRANCE;09/02/2005;2;2,54;2005;Comédie;FR;"[1;5[";FR;Hiver
13;PALAIS ROYAL!;FRANCE / GRANDE BRETAGNE;23/11/2005;11;2,38;2005;Comédie;FR;"[1;5[";FR;Automne
14;WALLACE ET GROMIT LE MYSTERE DU LAPIN-GAROU;GRANDE BRETAGNE;12/10/2005;10;2,23;2005;Animation;GB;"[1;5[";GB;Automne
15;4 FANTASTIQUES (LES);ETATS UNIS;20/07/2005;7;2,22;2005;Super-héros;US;"[1;5[";US;Été
